Review Title,Username,Review Date,Review,Hate Speech,Explanation
Horrible Story,shallon4000,19 June 2020,"It's like the creators of the first game hated their creation and then came out with this one. They throw their characters under the bus for new characters that you don't like. They take the original story and ruin it with this one. And they clearly had an agenda as their primary focus.I'm a progressive liberal, but this just goes overboard! Christians are bad, white people are out of touch, and trans and gay folks are all victims. At this point, they should have just put Trump in it, with a hat that said 'Make The Apocalypse Great Again' and be done with it.There is a time and place for everything. Video games should be there for escapism and fun, and not for preaching an agenda.At this point, I'm not only burnt with the Last Of Us franchise. (They ruined the story!!!!). But I think I'm also through with Naughty Dogs. The company can no longer be trusted with coming out with a quality product.Don't waist you're money on this one, especially if your fans of the first one. I loved the first one, and I hate that I now know how it all ends. It's sad they decided to do this.",0.0,No hate speech detected.
Neil got the hate part right,ivan_santic,19 June 2020,"The first game was about love and they said the secound one would be about hate.. they got that right, we all hate it. Good job.",0.0,No hate speech detected.
Well they got it right..,ivan_santic,19 June 2020,"The first one was about love and this one about hate.. Good job Neil! You nailed it, we all do hate it.",0.0,No hate speech detected.
Not a good story,amjdfrhan,19 June 2020,I don't know why they support the gays in this game this is out of natural they act there is no story other than putting some gays at the story it is disappointment i don't like this game 👎🏽 The first part was much better than this one,0.0,No hate speech detected.
They ruined it,amalmalkey,19 June 2020,"Beautiful graphics is not enough to make great game, bad storyline bad characters and bad agendas.",0.0,No hate speech detected.
Terrible story,etiennemol,19 June 2020,"This game is not enjoyable. Terrible story and had to stop playing very early in game. I tried, but this game really is trash.",0.0,No hate speech detected.
Horrible,mrteflteacher,19 June 2020,"I'm a big fan of the first game, I thought the storyline and gameplay really worked. The second time around though, it's an overhyped repetitive game with a broken storyline full of plot holes; the character arc is destroyed by bad narrative writing; and the gameplay becomes too repetitive.I give this one a hard miss.",1.0,Hate speech detected in categories: violence
Waste of time,arifg-37325,19 June 2020,"The ending is pointless
Abby is not interesting
Joel deserved better
Ellie deserved better
The flashbacks with Joel and Ellie are the only Good thing",0.0,No hate speech detected.
Waste of time,onuronal2010,19 June 2020,Script and story is a utter trash.Don't waste your money or time,0.0,No hate speech detected.
Neil doesn't even know the basics of narrative,henryluishugo,19 June 2020,"At first I was gonna write my rage but I know if I do that It won't be anything productive out of it Im not a fan of the first the last of us but it is a decent enough narrative the reason I hate this is because if you see this in a basic narrative stand point it's terrible every thing that tries falls flat in his face not only because this sequel doesn't pick up the the obvious theme of Joel about lying to her and she assuming the consequences that Joel left for her it's a revenge story and I don't have a problem but it's a ridiculously bad revenge story not only do you play as a character that it doesn't have a point to exist I'm not exaggerating is so out of nowhere and the themes ? DO you really think the pretencious Neil would put the time and effort to develop the themes???? AHahahahah you ignorant and hopeful child no he instead is so inclusive that's a compensation for the existence of this sequel and why the narrative is the equivalent of boiling the script papers of this thing in bleach isn't he a really tolerant and great guy wow Neil you really are, i hope you win the approval of the gaming world ok maybe i got off track what I'm trying to say that this sequel doesn't have a point to exist it doesn't add anything to the world it doesn't have a conclusion to the characters that people grow to like and it doesnt have a purpose to exist and it doesn't have a basic theme it's a complete waste of time avoid it and play the first game at least in there you have coherent events that have purpose",0.0,No hate speech detected.
It was for nothing,velociraptorbomba,19 June 2020,"I said only that this game is the proof that masterpiece doesn't need sequels!
An amazing graphic can't save a game with a non-sense story",0.0,No hate speech detected.
The Absolute Garbage.,abdullah-10000,19 June 2020,"This game is an absolute garbage in terms of story and repetitive gameplay, unfaithful game just trying to adapt other 3 games and it failed miserably.",0.0,No hate speech detected.
Waited seven years for this...,jozsef-13295,19 June 2020,This doesn't even deserve my time making a full review. So I'll be quick...I never hated golf and muscles so much in my life1/10,0.0,No hate speech detected.
This game spits in the face of the original game's fans,rayyanrizwan-91171,19 June 2020,The only good thing about this game is the graphics,0.0,No hate speech detected.
Pretentious Mess (Spoiler Free),raygun-32145,19 June 2020,"The writing in this game is a huge step down from it's predessor. The characters are unlikable and the dialogue made me laugh out loud. Most importantly the entire plot of the game is a generic ""Revenge is bad"" story stretched out over 25 hours (the game could be half that without losing any depth).The gameplay was mediocre but the story was hilariously bad. I loved Ellie as a character in TLOU1 but she loses all of her charisma and intelligence in this game.The gameplay is almost identical to TLOU1's gameplay. The gunplay is fun but the AI is very stupid. Other than dogs there are few new enemies. 80% of the game is fighting generic human enemies who can't see you crouching 10 meters in front of them in broad daylight.Ultimately this is a game that is inferior to TLOU1 in almost every way. Certainly not worth $60.",1.0,Hate speech detected in categories: individual
hot trash,itehjelleh,19 June 2020,Very disappointed with the story. they had 7 years to make this and this is what they came up with? what a joke,0.0,No hate speech detected.
"DONT BOTHER IF YOU HAVE ANY INTEREST IN STORY, PLOT OR CHARACTER",hungryhorse-13072,19 June 2020,"Contains spoilers
Seven years. Seven god damned years I've waited for the sequel to one of the best stories not just games, but stories0 I've ever had the pleasure to be involved with. TLOU had incredible acting, a great story, emotion, beautiful graphics and originality...
And what to they give us For TLOU2None of that. Nada. Zip.Don't be drawn in by the trailers, some of the scenes involving Joel don't even exist in game. They're there to manipulate you into thinking that Joel,and Ellie are off on another adventure. Somewhat strained after the end of the first game... but still. The two of them together.Now I'm no fool. I never wanted a sequel, mainly because I knew the only way they could match the emotional drama of the first, would be to kill Joel. And that's just bad storytelling. But that's how they go.... they take our rough, tough survivor from the first game who doesn't trust ANYONE. And have him drop his guard laughably, has him trust a stranger he just met fully and gives them his name.And the outcome? He gets gut shot and beaten to death with a golf club in super high definition.Earth to Neil Druckman. Even Game of Thrones had good writing, character and plot when they killed a main character. You sir, are not Game of Thrines. And this was bad.It's almost like they knew it was terrible, so they had to make the murderer transgender -mall so they can go to the marketing campaign and shout""Look, look how inclusive we are! Lesbians in the first game, transgenders in this game. Look!""Dude. A good character is a good character regardless of age, sex or whatever... you can't make them a good character JUST because of their orientation. It's like you were so obsessed with Ellie being gay, you needed to take it further.IT DOESNT MATTER.If it was good writing, we wouldn't need to know. Subtle hints in the story would do, and we could work it out ourselvesBut forget all that. That's not why it's a terrible, terrible game that lacks imagination, character development or consistency, a decent plot or originality.You took one of the most cliched and over used plots of any bad B movie, and wrote a game around it. You then killed one of the most beloved characters in gaming in such a pathetic, out of character way and had his death mean nothing. Nothing at all was achieved by it.
You then force us to play as his killer...not only someone we hate, but have ZERO interest in. Then back to Ellie, who decides all the death and murder in the game is just...actually not worth it. Killing is bad...🙄Seriously? We can't even get revenge?This is terrible on every level. Don't believe the critics raving about it. Their clearly terrified of being labelled transphobic (clever move Druckman)Plus points. Graphics are beautiful, the acting from Ashley and Troy is incredible. But that's about it..Watch a play through and save your money. Or get it second hand....they'll be plenty of copies in the bargain bin soon enough",1.0,Hate speech detected in categories: violence
I'm now left behind this game,OfficialPSASD,19 June 2020,"This is so embarrassing, it doesn't feel like a game. It was going from point A to point B, watching cinematic cutscenes for several minutes and even terrible written story.It would be better to look at the paint on the wall for 3 hours.",0.0,No hate speech detected.
